Scenario,Distribution,Target_Skewness,Target_ExcessKurtosis,Achieved_Skewness,Achieved_ExcessKurtosis,Lambda,L,Method,Shift_Size,ARL1,SDRL1,MRL1
Skewness,Skew-Normal,1,NA,0.978886478,0.790890886,0.1,2.6952,EWMA,1.5,5.8361,2.351337847,5
Skewness,Skew-Normal,1,NA,0.986593481,0.834291036,0.1,2.6952,WV,1.5,5.3044,2.136538584,5
Skewness,Skew-Normal,1,NA,1.02087881,0.93488309,0.1,2.6952,WSD,1.5,4.8528,1.987895202,5
Skewness,Skew-Normal,1,NA,1.031577708,1.004148541,0.1,2.6952,SC,1.5,9.2261,3.924808174,8
Skewness,Skew-Normal,1,NA,1.000449716,0.892918547,0.2,2.8537,EWMA,1.5,5.3532,2.831969591,5
Skewness,Skew-Normal,1,NA,1.004130633,0.898166126,0.2,2.8537,WV,1.5,4.8127,2.47657668,4
Skewness,Skew-Normal,1,NA,1.003483604,0.897866436,0.2,2.8537,WSD,1.5,4.3909,2.28394808,4
Skewness,Skew-Normal,1,NA,1.000176455,0.93597614,0.2,2.8537,SC,1.5,9.6562,6.94160069,8
Skewness,Skew-Normal,1,NA,0.95066205,0.666781211,0.3,2.9286,EWMA,1.5,5.4741,3.631617829,5
Skewness,Skew-Normal,1,NA,0.977825068,0.802101969,0.3,2.9286,WV,1.5,4.831,3.049847399,4
Skewness,Skew-Normal,1,NA,1.000382013,0.864287884,0.3,2.9286,WSD,1.5,4.2194,2.551492632,4
Skewness,Skew-Normal,1,NA,0.975337189,0.758695921,0.3,2.9286,SC,1.5,11.9353,11.90811884,9
Skewness,Skew-Normal,1.5,NA,1.006868314,0.959528074,0.1,2.6952,EWMA,0.25,108.81,190.1797027,50
Skewness,Skew-Normal,1.5,NA,0.978397251,0.846357105,0.1,2.6952,WV,0.25,78.0166,126.7635509,40
Skewness,Skew-Normal,1.5,NA,1.002076467,0.85018791,0.1,2.6952,WSD,0.25,59.8554,97.88104291,32
Skewness,Skew-Normal,1.5,NA,0.976537183,0.747355969,0.1,2.6952,SC,0.25,298.063,383.026891,155
Skewness,Skew-Normal,1.5,NA,1.025557569,0.970978958,0.2,2.8537,EWMA,0.25,101.0129,166.7209151,49
Skewness,Skew-Normal,1.5,NA,0.97911283,0.838248952,0.2,2.8537,WV,0.25,72.2092,111.3167498,38
Skewness,Skew-Normal,1.5,NA,1.036906902,1.046040463,0.2,2.8537,WSD,0.25,52.3401,79.90290658,29
Skewness,Skew-Normal,1.5,NA,1.005178262,0.893380335,0.2,2.8537,SC,0.25,366.3947,468.2482826,182
Skewness,Skew-Normal,1.5,NA,1.017618832,0.949028782,0.3,2.9286,EWMA,0.25,98.1313,157.2530658,49
Skewness,Skew-Normal,1.5,NA,0.99302272,0.813003424,0.3,2.9286,WV,0.25,64.3853,94.10088704,35
Skewness,Skew-Normal,1.5,NA,1.02172523,0.989412465,0.3,2.9286,WSD,0.25,48.5752,72.09948251,27
Skewness,Skew-Normal,1.5,NA,1.003849291,0.877746969,0.3,2.9286,SC,0.25,469.4606,562.7768148,232
Skewness,Skew-Normal,1.5,NA,0.997681898,0.853986593,0.1,2.6952,EWMA,0.5,32.5904,42.93987903,21
Skewness,Skew-Normal,1.5,NA,0.981070053,0.837838607,0.1,2.6952,WV,0.5,26.506,30.31266484,18
Skewness,Skew-Normal,1.5,NA,0.989604616,0.869813063,0.1,2.6952,WSD,0.5,22.1562,22.82032599,16
Skewness,Skew-Normal,1.5,NA,1.033539006,1.051468547,0.1,2.6952,SC,0.5,131.0318,241.4290198,55
Skewness,Skew-Normal,1.5,NA,0.96942474,0.736294635,0.2,2.8537,EWMA,0.5,37.2452,53.78192007,22
Skewness,Skew-Normal,1.5,NA,0.954035352,0.666868486,0.2,2.8537,WV,0.5,28.0101,35.80546887,17
Skewness,Skew-Normal,1.5,NA,0.988100399,0.832629665,0.2,2.8537,WSD,0.5,21.3552,22.94581626,14
Skewness,Skew-Normal,1.5,NA,1.018571192,0.978791705,0.2,2.8537,SC,0.5,212.4551,357.5888801,83
Skewness,Skew-Normal,1.5,NA,0.996151875,0.823363777,0.3,2.9286,EWMA,0.5,40.3077,57.01069235,23
Skewness,Skew-Normal,1.5,NA,0.967151732,0.712160696,0.3,2.9286,WV,0.5,29.0273,39.66779686,17
Skewness,Skew-Normal,1.5,NA,0.978700851,0.751007804,0.3,2.9286,WSD,0.5,22.7643,27.97434185,14
Skewness,Skew-Normal,1.5,NA,1.008451305,0.873876224,0.3,2.9286,SC,0.5,261.1113,407.0213908,107.5
Skewness,Skew-Normal,1.5,NA,1.0090456,0.926791661,0.1,2.6952,EWMA,0.75,15.6033,11.96943005,12
Skewness,Skew-Normal,1.5,NA,1.003038628,0.958528809,0.1,2.6952,WV,0.75,13.4977,10.06522357,11
Skewness,Skew-Normal,1.5,NA,0.986655311,0.87125451,0.1,2.6952,WSD,0.75,11.9883,8.49819893,10
Skewness,Skew-Normal,1.5,NA,0.992870762,0.841165374,0.1,2.6952,SC,0.75,37.6426,56.49732967,24
